,strategy_return
2025-02-06,18986080.228594
2025-02-07,18790172.52475618
2025-02-10,18909219.433285315
2025-02-11,17826178.59738086
2025-02-12,18267871.71670407
2025-02-13,19084865.39160976
2025-02-14,18399901.447530672
2025-02-18,18014363.604901627
2025-02-19,17739773.8141234
2025-02-20,17514016.787073467
2025-02-21,16482820.18828742
2025-02-24,15650971.094804991
2025-02-25,14601159.020363195
2025-02-26,14953639.982623037
2025-02-27,14113171.448698372
2025-02-28,14736404.945697006
2025-03-03,14014938.144251209
2025-03-04,13963495.097445915
2025-03-05,14440565.40529401
2025-03-06,13783438.368602384
2025-03-07,14158200.80789073
2025-03-10,12965058.669374576
2025-03-11,13316778.533720104
2025-03-12,13899297.701297194
2025-03-13,13442015.518873652
2025-03-14,14562631.423509257
2025-03-17,14745159.271484392
2025-03-18,14080796.392715229
2025-03-19,14400358.640378041
2025-03-20,14118394.024363326
2025-03-21,14391348.9544004
2025-03-24,14916514.384155765
2025-03-25,14831756.11207978
2025-03-26,14168565.37968492
2025-03-27,13776278.118669614
2025-03-28,13342323.868049627
2025-03-31,13212842.80517848
2025-04-01,13235731.589919973
2025-04-02,13268533.563832257
2025-04-03,12683775.633493097
2025-04-04,11606589.47877245
2025-04-07,11669838.280878514
2025-04-08,11343573.850185944
2025-04-09,12683266.96543216
2025-04-10,12141860.107860781
2025-04-11,12338718.218371417
2025-04-14,12555803.354090655
2025-04-15,12607852.875288608
2025-04-16,12250787.432203293
2025-04-17,12390989.92353892
2025-04-21,12129405.179106634
2025-04-22,12539778.658111684
2025-04-23,12891449.334784128
2025-04-24,13392308.590920862
2025-04-25,13423574.182661649
2025-04-28,13491387.98037458
2025-04-29,13495955.845467057
2025-04-30,13320266.75099161
2025-05-01,13255779.098571837
2025-05-02,13673750.300172675
2025-05-05,13550856.372861486
2025-05-06,13424381.649714472
2025-05-07,13473406.81805841
2025-05-08,13747425.716763373
2025-05-09,13742985.562648991
2025-05-12,14009773.609129168
2025-05-13,14586169.277856942
2025-05-14,14767665.553055998
2025-05-15,14611751.505130684
2025-05-16,14798874.051652508
2025-05-19,14801541.470578069
2025-05-20,14756286.578020649
2025-05-21,14473111.161604133
2025-05-22,14427257.115986425
2025-05-23,14304579.877581539
2025-05-27,14531763.361928867
2025-05-28,14434033.511402696
2025-05-29,14310676.39734242
2025-05-30,14362319.916077502
2025-06-02,14496210.900676353
2025-06-03,14703166.059903275
2025-06-04,14596380.843890212
2025-06-05,13970709.409476591
2025-06-06,14293971.488678284
2025-06-09,14489891.92483963
2025-06-10,14502547.734317722
2025-06-11,14778081.434392124
2025-06-12,14575369.727987466
2025-06-13,14428920.996494086
2025-06-16,14854267.060649281
2025-06-17,14550111.78911886
2025-06-18,14871906.172643173
2025-06-20,14906541.283312438
2025-06-23,15049317.408426454
2025-06-24,15556915.637637641
2025-06-25,15440232.03544277
2025-06-26,15748723.225666987
2025-06-27,15459798.66987658
2025-06-30,16043072.217292288
2025-07-01,15445927.408251133
2025-07-02,16294780.399665222
2025-07-03,16415660.631691713
2025-07-07,16429622.200480191
2025-07-08,16419258.034754965
2025-07-09,16747319.743974159
2025-07-10,16818912.164837293
2025-07-11,16490179.23786653
2025-07-14,16756709.463325601
2025-07-15,16881379.27338913
2025-07-16,17665474.05385614
2025-07-17,17973027.647855237
2025-07-18,18038237.328319874
2025-07-21,17712285.976881776
2025-07-22,17210498.923231445
2025-07-23,17497318.11394803
2025-07-24,17605756.39803229
2025-07-25,17683791.34425287
2025-07-28,17843314.62468294
2025-07-29,17515281.113784827
2025-07-30,17685812.420965526
2025-07-31,17583759.91789937
2025-08-01,16773734.814877179
2025-08-04,17473621.969901826
2025-08-05,17433687.966263413
2025-08-06,17002060.910328787
2025-08-07,17195211.537444927
2025-08-08,17266885.414321233
2025-08-11,17533350.62903598
2025-08-12,17681591.624124687
2025-08-13,17618046.413854893
2025-08-14,17671802.036847632
2025-08-15,17448731.708891653
2025-08-18,17509469.37485089
2025-08-19,16524807.492475282
2025-08-20,16353313.023248076
2025-08-21,16245515.815585658
2025-08-22,16786911.298847526
2025-08-25,16582865.518815087
2025-08-26,16873896.312056128
2025-08-27,16879167.888267923
2025-08-28,17191094.739589017
2025-08-29,16641491.807749761
2025-09-02,16441934.360908896
2025-09-03,16369715.753663465
2025-09-04,16606607.539282141
2025-09-05,16684853.478541326
2025-09-08,17186088.17735499
2025-09-09,17523550.310491193
2025-09-10,18187987.640800048
2025-09-11,18334393.6165558
2025-09-12,18462964.234857883
2025-09-15,18688983.968927015
2025-09-16,18915178.854066722
2025-09-17,19055915.70221709
2025-09-18,19804885.53617882
2025-09-19,20255208.480263554
2025-09-22,20552263.385294646
2025-09-23,20743883.747390203
2025-09-24,20712680.095095906
2025-09-25,20352498.9468268
2025-09-26,20240452.959089357
2025-09-29,20521608.59544612
2025-09-30,20717545.500315733
2025-10-01,21206021.223601963
2025-10-02,22252854.47469331
2025-10-03,22544714.49037605
2025-10-06,23053738.61292153
2025-10-07,22901782.352335032
2025-10-08,23057437.939684965
2025-10-09,23238514.247928772
2025-10-10,21825989.184329867
2025-10-13,23506361.99128815
2025-10-14,23318655.474193864
2025-10-15,23547174.496406235
2025-10-16,22869063.55963912
2025-10-17,22518245.027716678
2025-10-20,22619832.24679272
2025-10-21,22080669.187861104
2025-10-22,21381589.313831978
2025-10-23,22290975.391062897
2025-10-24,22515050.45585006
2025-10-27,23208049.18470475
2025-10-28,22857804.152584173
2025-10-29,23398850.69174023
2025-10-30,22961459.59272511
2025-10-31,23451857.26598432
2025-11-03,23168820.378184345
2025-11-04,21740540.94118525
2025-11-05,22664624.06042721
2025-11-06,21958626.444322392
2025-11-07,21852732.44508337
2025-11-10,22244788.94884684
2025-11-11,21557122.76993435
2025-11-12,21316419.691700358
2025-11-13,20080179.41389193
2025-11-14,20103357.48833588
2025-11-17,19873681.186805297
2025-11-18,19731698.59242397
2025-11-19,19818060.356992953
2025-11-20,18499372.21327462
2025-11-21,18763312.244326662
2025-11-24,20129025.436862107
2025-11-25,20062360.319807623
2025-11-26,20331009.63635327
2025-11-28,20790395.293791793
2025-12-01,20458295.29708931
2025-12-02,20715764.71593308
2025-12-03,21235364.322170444
2025-12-04,21319673.497392885
2025-12-05,21427624.92229102
2025-12-08,21375653.280361008
2025-12-09,21478866.670179654
2025-12-10,21606869.563507218
2025-12-11,21292454.262634054
2025-12-12,20376747.478002895
2025-12-15,20007192.32995249
2025-12-16,20065300.088438354
2025-12-17,19240296.15365344
2025-12-18,19835028.845319092
2025-12-19,20451436.592286322
2025-12-22,20975027.527776785
2025-12-23,20961301.055748027
2025-12-24,20967318.44133826
2025-12-26,20707300.657634046
2025-12-29,20702671.704296667
2025-12-30,20717664.582374725
2025-12-31,20480660.67980403
2026-01-02,21027268.439036835
2026-01-05,21272190.31710402
2026-01-06,21579054.23741139
2026-01-07,21431236.6002121
2026-01-08,21365416.48380579
2026-01-09,21716254.48156454
2026-01-12,21736335.162241623
2026-01-13,21700783.103914868
2026-01-14,21507121.832227513
2026-01-15,21689247.16365355
2026-01-16,21852600.222768184
2026-01-20,21507212.19349499
2026-01-21,22025011.334078632
2026-01-22,22141817.512493018
2026-01-23,22040199.6889359
2026-01-26,22071434.570915587
2026-01-27,22423329.232625216
2026-01-28,22561717.327334788
2026-01-29,22720698.667923227
2026-01-30,22376425.59595894
2026-02-02,22788730.552740935
2026-02-03,23476980.096572235
2026-02-04,21900491.975472767
2026-02-05,21319785.03768957
2026-02-06,22219742.519424796
2026-02-09,22338961.095570676
2026-02-10,21624636.948909733
2026-02-11,22206554.77394942
2026-02-12,21499109.751569957
2026-02-13,21580683.004131634
2026-02-17,21509805.223561615
2026-02-18,22103416.150153164
2026-02-19,22251898.73046279
2026-02-20,22074493.41934763
2026-02-23,22340805.14561976
2026-02-24,22407700.61892936
2026-02-25,22556691.60686626
2026-02-26,22411432.200971525
2026-02-27,21985514.407639403
