,equal_weight
2023-06-02,8033823.354067439
2023-06-05,8024833.738755467
2023-06-06,8072670.882393894
2023-06-07,8028369.325944372
2023-06-08,8079787.788177378
2023-06-09,8095785.001781582
2023-06-12,8196936.967871212
2023-06-13,8257563.122886522
2023-06-14,8300099.563473398
2023-06-15,8402983.239439918
2023-06-16,8351820.781156716
2023-06-20,8306115.237065871
2023-06-21,8204159.123069713
2023-06-22,8221545.519043539
2023-06-23,8151939.211079429
2023-06-26,8112909.719185483
2023-06-27,8250985.896607039
2023-06-28,8267665.288490677
2023-06-29,8275613.482763769
2023-06-30,8346512.321198091
2023-07-03,8424958.018952858
2023-07-05,8404774.603594333
2023-07-06,8265778.800854982
2023-07-07,8278042.935187707
2023-07-10,8334856.285720085
2023-07-11,8420974.01560627
2023-07-12,8496837.863690602
2023-07-13,8656460.853523612
2023-07-14,8581680.568342417
2023-07-17,8602379.863829339
2023-07-18,8675686.855411744
2023-07-19,8748421.778982626
2023-07-20,8617971.805928377
2023-07-21,8637870.966417432
2023-07-24,8706040.89091273
2023-07-25,8712731.970000613
2023-07-26,8738842.39262949
2023-07-27,8699926.685035113
2023-07-28,8834622.834488127
2023-07-31,8897399.798950039
2023-08-01,8842917.73063498
2023-08-02,8654881.331849141
2023-08-03,8627578.754009686
2023-08-04,8574046.105885059
2023-08-07,8637522.957752822
2023-08-08,8554325.022209175
2023-08-09,8464097.590528876
2023-08-10,8484616.851064004
2023-08-11,8438436.475709705
2023-08-14,8488202.477112593
2023-08-15,8345636.351970883
2023-08-16,8254022.733653509
2023-08-17,8187455.4047608515
2023-08-18,8172325.852425631
2023-08-21,8253101.678133195
2023-08-22,8198462.974332284
2023-08-23,8301629.0479721045
2023-08-24,8158516.911687195
2023-08-25,8228610.016277422
2023-08-28,8284284.03095419
2023-08-29,8455229.216921423
2023-08-30,8477320.015640642
2023-08-31,8487237.495179147
2023-09-01,8521974.642998662
2023-09-05,8507155.14139717
2023-09-06,8451261.583341945
2023-09-07,8388929.65436238
2023-09-08,8400589.025217023
2023-09-11,8461195.843634505
2023-09-12,8470642.685958186
2023-09-13,8468096.642438082
2023-09-14,8543799.057672659
2023-09-15,8437829.221843742
2023-09-18,8413012.1548935
2023-09-19,8337779.79975381
2023-09-20,8244707.613012379
2023-09-21,8076464.231206598
2023-09-22,8053962.261012666
2023-09-25,8087101.276827438
2023-09-26,7978588.745917625
2023-09-27,7991168.830538284
2023-09-28,8067614.038753162
2023-09-29,8088356.757601303
2023-10-02,8072873.0698532155
2023-10-03,7943695.412536588
2023-10-04,7996336.084524417
2023-10-05,7979174.285619369
2023-10-06,8095980.171924569
2023-10-09,8134528.036777292
2023-10-10,8198144.274214668
2023-10-11,8202228.22533155
2023-10-12,8141276.313485316
2023-10-13,8073773.92782015
2023-10-16,8184035.2260968825
2023-10-17,8205204.117555275
2023-10-18,8063319.344546275
2023-10-19,8036185.242415341
2023-10-20,7939977.323292123
2023-10-23,7912488.956623244
2023-10-24,8017907.173963504
2023-10-25,7818971.473704473
2023-10-26,7742108.989588646
2023-10-27,7668175.721994364
2023-10-30,7760415.734375246
2023-10-31,7823288.786590751
2023-11-01,7913680.266412266
2023-11-02,8143020.815216407
2023-11-03,8288938.615503154
2023-11-06,8276172.803244726
2023-11-07,8325593.9429106135
2023-11-08,8325458.733018793
2023-11-09,8245599.488549943
2023-11-10,8371556.195697445
2023-11-13,8362017.196853696
2023-11-14,8551731.490723468
2023-11-15,8637858.559164548
2023-11-16,8574394.471385766
2023-11-17,8609734.088621996
2023-11-20,8690137.58223217
2023-11-21,8640226.596195657
2023-11-22,8677324.441964058
2023-11-24,8693843.501500031
2023-11-27,8681185.851197215
2023-11-28,8704793.386196045
2023-11-29,8730856.014648847
2023-11-30,8755567.330482181
2023-12-01,8808435.339971092
2023-12-04,8764073.728232611
2023-12-05,8757917.462559845
2023-12-06,8731505.280776877
2023-12-07,8822727.110043481
2023-12-08,8886995.273297338
2023-12-11,8933871.71442389
2023-12-12,8950600.169120051
2023-12-13,9077503.859044325
2023-12-14,9207890.510065924
2023-12-15,9222640.876938276
2023-12-18,9276748.533577103
2023-12-19,9388562.797243746
2023-12-20,9220362.489579685
2023-12-21,9363549.483461592
2023-12-22,9370516.62869419
2023-12-26,9448844.152366847
2023-12-27,9470639.625894217
2023-12-28,9482885.522835271
2023-12-29,9419258.823721873
2024-01-02,9303093.362866838
2024-01-03,9219907.14955996
2024-01-04,9181035.589324968
2024-01-05,9217663.47775072
2024-01-08,9348964.2378179
2024-01-09,9298810.876181565
2024-01-10,9296277.0527585
2024-01-11,9276815.218301417
2024-01-12,9242168.669219017
2024-01-16,9192561.033831747
2024-01-17,9127625.421868352
2024-01-18,9189196.003298525
2024-01-19,9340627.230092552
2024-01-22,9358372.547872826
2024-01-23,9436111.552245378
2024-01-24,9455650.97390557
2024-01-25,9498538.746493591
2024-01-26,9504153.246413112
2024-01-29,9603630.049898878
2024-01-30,9579765.10568058
