,strategy_return
2024-11-13,12877656.007896608
2024-11-14,12818062.223044947
2024-11-15,12870639.733321458
2024-11-18,12912875.877643175
2024-11-19,12968640.013184324
2024-11-20,12999041.375694258
2024-11-21,12964818.716135878
2024-11-22,13034657.077930808
2024-11-25,13029225.950102214
2024-11-26,12994323.715276724
2024-11-27,13027517.77283962
2024-11-29,13066103.077331265
2024-12-02,13054791.866884146
2024-12-03,13077158.555189058
2024-12-04,13134097.044451093
2024-12-05,13125970.765006404
2024-12-06,13202729.718533644
2024-12-09,13151809.930550572
2024-12-10,13123505.851500666
2024-12-11,13203587.165015757
2024-12-12,13171918.112054277
2024-12-13,13235502.024605261
2024-12-16,13250349.486349395
2024-12-17,13237433.192751508
2024-12-18,13073316.950361691
2024-12-19,13068106.529507894
2024-12-20,13142963.104760097
2024-12-23,13151175.552365506
2024-12-24,13235649.869233951
2024-12-26,13229114.052296303
2024-12-27,13156293.344262233
2024-12-30,13075792.996627212
2024-12-31,13044757.726243244
2025-01-02,12998115.421873882
2025-01-03,13416880.557223443
2025-01-06,13583827.73602081
2025-01-07,13268445.630638365
2025-01-08,13160406.949508203
2025-01-10,13067315.44424091
2025-01-13,12983521.965346279
2025-01-14,13072818.966717977
2025-01-15,13391422.967451744
2025-01-16,13467267.364170909
2025-01-17,13684801.028334413
2025-01-21,13747646.356539488
2025-01-22,13766214.42811834
2025-01-23,13775381.03016964
2025-01-24,13737682.031050157
2025-01-27,13398101.325465169
2025-01-28,13507018.206426628
2025-01-29,13522193.655049033
2025-01-30,13653127.869149316
2025-01-31,13584670.509423515
2025-02-03,13516750.178936468
2025-02-04,13745840.757564582
2025-02-05,13682451.086411994
2025-02-06,13715855.822762473
2025-02-07,13678459.596910305
2025-02-10,13758135.21754829
2025-02-11,13555642.883603124
2025-02-12,13642189.526962064
2025-02-13,13779657.312479055
2025-02-14,13869383.615224654
2025-02-18,13880876.717111241
2025-02-19,13710751.16688717
2025-02-20,13574644.59223145
2025-02-21,13173748.378115585
2025-02-24,12920756.833183376
2025-02-25,12628663.090857865
2025-02-26,12722633.492990913
2025-02-27,12480581.63867395
2025-02-28,12652995.342677865
2025-03-03,12423576.099455334
2025-03-04,12387513.452950438
2025-03-05,12687325.225711042
2025-03-06,12337311.82033368
2025-03-07,12404561.913329436
2025-03-10,11762222.018303474
2025-03-11,11866230.609367605
2025-03-12,12023646.684295794
2025-03-13,11809378.19163845
2025-03-14,12144434.287480578
2025-03-17,12214067.739741325
2025-03-18,12019244.245366463
2025-03-19,12283836.979125448
2025-03-20,12253281.355775017
2025-03-21,12344413.196749514
2025-03-24,12755316.40897334
2025-03-25,12759515.688087879
2025-03-26,12522463.54703568
2025-03-27,12395241.803719344
2025-03-28,12061811.76018325
2025-03-31,11985833.85521551
2025-04-01,11996386.796172243
2025-04-02,11993056.283214383
2025-04-03,11895812.73580365
2025-04-04,11692755.002889212
2025-04-07,11684680.256718805
2025-04-08,11607519.233112168
2025-04-09,11834659.818274759
2025-04-10,11739593.009138782
2025-04-11,11787000.323041609
2025-04-14,11841258.670739776
2025-04-15,11852264.715989083
2025-04-16,11782312.027644321
2025-04-17,11812891.29077717
2025-04-21,11762579.360687334
2025-04-22,11812835.012481704
2025-04-23,11875137.676762339
2025-04-24,11952133.759556394
2025-04-25,11950723.025100404
2025-04-28,11962995.090005662
2025-04-29,12015334.589844313
2025-04-30,11987260.400379324
2025-05-01,12010834.535790622
2025-05-02,12100777.053726826
2025-05-05,12084127.012159107
2025-05-06,12127367.598265462
2025-05-07,12125116.458244523
2025-05-08,12152380.959149782
2025-05-09,12164418.990217848
2025-05-12,12245666.249379745
2025-05-13,12332888.541778706
2025-05-14,12343202.340766342
2025-05-15,12315015.80314451
2025-05-16,12356879.226120757
2025-05-19,12343027.862666633
2025-05-20,12331375.9771874
2025-05-21,12278628.388686262
2025-05-22,12247605.714838339
2025-05-23,12241414.340652179
2025-05-27,12257056.666682482
2025-05-28,12237197.430074764
2025-05-29,12227013.280116392
2025-05-30,12239113.603420757
2025-06-02,12260050.002813924
2025-06-03,12279058.085773207
2025-06-04,12283478.664007887
2025-06-05,12265546.351696987
2025-06-06,12313350.647755837
2025-06-09,12341247.497718303
2025-06-10,12364105.831549179
2025-06-11,12375748.964133091
2025-06-12,12364251.316680647
2025-06-13,12339740.615480596
2025-06-16,12392346.336714821
2025-06-17,12382280.645251933
2025-06-18,12392596.42596047
2025-06-20,12409477.997636193
2025-06-23,12313697.639110861
2025-06-24,12366475.389833424
2025-06-25,12354594.213840073
2025-06-26,12409224.458570832
2025-06-27,12408614.279770833
2025-06-30,12443664.838634409
2025-07-01,12177437.913474305
2025-07-02,12584928.9627629
2025-07-03,12647398.937792474
2025-07-07,12618024.153495427
2025-07-08,12663032.59859111
2025-07-09,12870456.230135255
2025-07-10,12958829.68865999
2025-07-11,12797529.354804259
2025-07-14,12945550.97972237
2025-07-15,12959938.618156733
2025-07-16,13254978.06208645
2025-07-17,13407878.48158012
2025-07-18,13436615.227727864
2025-07-21,13245104.140677067
2025-07-22,13105456.591347005
2025-07-23,13339912.384425044
2025-07-24,13339573.282734295
2025-07-25,13390669.313952703
2025-07-28,13439380.025108043
2025-07-29,13303361.17459687
