,equal_weight
2025-02-03,15456796.607766408
2025-02-04,15689078.477293268
2025-02-05,15631729.981230794
2025-02-06,15678054.38050733
2025-02-07,15644442.583612924
2025-02-10,15892645.628377214
2025-02-11,15739247.645995934
2025-02-12,15792903.471976044
2025-02-13,16031138.328883285
2025-02-14,16145863.053492857
2025-02-18,16359931.096455168
2025-02-19,16302432.195057174
2025-02-20,16223558.393649813
2025-02-21,15739260.960053397
2025-02-24,15491356.874348229
2025-02-25,15180321.321126478
2025-02-26,15299727.108563907
2025-02-27,14964348.585061736
2025-02-28,15187208.106453193
2025-03-03,14761263.088459078
2025-03-04,14599828.284107223
2025-03-05,14939001.451329598
2025-03-06,14580381.53286537
2025-03-07,14762495.621636748
2025-03-10,14070274.541387314
2025-03-11,14082721.2596118
2025-03-12,14248273.39244354
2025-03-13,14020549.129548775
2025-03-14,14452069.036865776
2025-03-17,14654284.61721764
2025-03-18,14428432.736970272
2025-03-19,14707101.27932132
2025-03-20,14663949.419384893
2025-03-21,14692244.33618608
2025-03-24,15107281.240012603
2025-03-25,15106267.462497223
2025-03-26,14802796.04207612
2025-03-27,14652629.670771752
2025-03-28,14207149.063573252
2025-03-31,14172177.031053847
2025-04-01,14302872.930864895
2025-04-02,14503488.422338955
2025-04-03,13497835.481134789
2025-04-04,12589408.62798738
2025-04-07,12704107.838828998
2025-04-08,12293738.768600725
2025-04-09,13925942.600763012
2025-04-10,13223932.991323682
2025-04-11,13504498.414659012
2025-04-14,13639948.741219787
2025-04-15,13670115.758436566
2025-04-16,13298250.275925681
2025-04-17,13392120.612208754
2025-04-21,13082855.05631751
2025-04-22,13497929.028336383
2025-04-23,13867684.089914355
2025-04-24,14333685.4381604
2025-04-25,14495299.546463972
2025-04-28,14501670.36046825
2025-04-29,14615088.347387448
2025-04-30,14485129.36737026
2025-05-01,14600378.457091125
2025-05-02,15061742.074098436
2025-05-05,14885618.166160608
2025-05-06,14858461.328121142
2025-05-07,14895426.977471795
2025-05-08,15188037.500713626
2025-05-09,15274170.19219375
2025-05-12,15936578.532180142
2025-05-13,16327011.051820418
2025-05-14,16459314.924277546
2025-05-15,16348050.70423152
2025-05-16,16558977.150057914
2025-05-19,16524027.475461518
2025-05-20,16440471.340231147
2025-05-21,16095951.213511221
2025-05-22,16297559.798224164
2025-05-23,16157683.769811103
