,strategy_risk
2025-11-19,11984243.536970504
2025-11-20,11797349.004050428
2025-11-21,11882796.430322077
2025-11-24,12215058.61847336
2025-11-25,12265507.017536696
2025-11-26,12386417.164925821
2025-11-28,12518933.415966066
2025-12-01,12404151.053850066
2025-12-02,12448253.332441865
2025-12-03,12569007.641410224
2025-12-04,12646918.344505088
2025-12-05,12630414.271027286
2025-12-08,12548858.030961715
2025-12-09,12526129.871896895
2025-12-10,12563387.438790645
2025-12-11,12463767.052633595
2025-12-12,12372448.813464863
2025-12-15,12219941.246067999
2025-12-16,12163423.748355987
2025-12-17,11989612.381651137
2025-12-18,12037257.864529718
2025-12-19,12176920.9374462
2025-12-22,12298740.905557062
2025-12-23,12290879.182193529
2025-12-24,12308515.108137108
2025-12-26,12269873.22861518
2025-12-29,12250488.19197844
2025-12-30,12249632.793263933
2025-12-31,12189224.20141473
2026-01-02,12257928.940904398
2026-01-05,12312921.621012447
2026-01-06,12320406.440495377
2026-01-07,12293720.338906784
2026-01-08,12319838.686268663
2026-01-09,12400570.965110892
2026-01-12,12473043.512653386
2026-01-13,12532202.720756982
2026-01-14,12558479.346048871
2026-01-15,12556281.53259942
2026-01-16,12562097.943510478
2026-01-20,12504995.669765063
2026-01-21,12591709.896143451
2026-01-22,12576226.813349508
2026-01-23,12586013.097213738
2026-01-26,12618921.006994432
2026-01-27,12658162.532074483
2026-01-28,12681454.995815443
2026-01-29,12731608.194860645
2026-01-30,12705431.534741927
2026-02-02,12802926.145667477
2026-02-03,12928458.116375487
2026-02-04,12882168.353686526
2026-02-05,12838550.937835889
2026-02-06,12952927.521851603
2026-02-09,12977131.979509687
2026-02-10,12927296.558506731
2026-02-11,12970336.918394262
2026-02-12,12866901.31910732
2026-02-13,12864465.666922899
2026-02-17,12788034.385803265
2026-02-18,12835054.33391175
2026-02-19,12801083.6550662
2026-02-20,12828791.351782674
2026-02-23,12843187.936197896
2026-02-24,12861077.314193366
2026-02-25,12880139.040339792
2026-02-26,12845865.727607755
2026-02-27,12920231.238428086
